2-grape (fruit, round, purple, small)
2-golf ball (sports, round, white, small)
2-basket ball (sports, round, orange, large)
2-dice (toy, rectangle, red, small)
2-orange (fruit, round, orange, medium)
2-house roof (building, triangle, red, large)
2-pyramid (building, triangle, brown, large)
2-laptop (gadget, rectangle, red, medium)
wildcard tux 2
2-table (furniture, rectangle, brown, medium)
1-hat (fashion, round, purple, medium)
1-tv (gadget, rectangle, black, medium)
2-drum (music, round, blue, medium)
3-laptop (gadget, rectangle, red, medium)
1-tennis ball (sports, round, green, medium)
3-tv (gadget, rectangle, black, medium)
1-laptop (gadget, rectangle, red, medium)
wildcard tux 1
1-piano (music, rectangle, black, large)
1-paper airplane (toy, triangle, yellow, small)
1-handphone (gadget, rectangle, black, small)
2-alphabet block (toy, rectangle, green, small)
1-golf ball (sports, round, white, small)
2-handphone (gadget, rectangle, black, small)
1-grape (fruit, round, purple, small)
3-grape (fruit, round, purple, small)
3-paper airplane (toy, triangle, yellow, small)
