2-table (furniture, rectangle, brown, medium)
1-paper airplane (toy, triangle, yellow, small)
3-swimming trunk (fashion, triangle, blue, small)
1-pizza slice (food, triangle, yellow, medium)
3-watermelon (fruit, round, green, large)
wildcard max 6
wildcard max 1
3-cupboard (furniture, rectangle, brown, large)
1-piano (music, rectangle, black, large)
2-dice (toy, rectangle, red, small)
3-dice (toy, rectangle, red, small)
3-tv (gadget, rectangle, black, medium)
2-tennis ball (sports, round, green, medium)
3-table (furniture, rectangle, brown, medium)
1-jelly (food, round, purple, small)
3-the triangle (music, triangle, white, medium)
1-swimming trunk (fashion, triangle, blue, small)
1-cloth hanger (fashion, triangle, blue, large)
3-pizza slice (food, triangle, yellow, medium)
3-cake slice (food, triangle, orange, small)
3-pyramid (building, triangle, brown, large)
2-the triangle (music, triangle, white, medium)
2-cake slice (food, triangle, orange, small)
2-hat (fashion, round, purple, medium)
2-laptop (gadget, rectangle, red, medium)
2-alphabet block (toy, rectangle, green, small)
2-basket ball (sports, round, orange, large)
2-pyramid (building, triangle, brown, large)
2-grape (fruit, round, purple, small)
2-watermelon (fruit, round, green, large)
2-orange (fruit, round, orange, medium)
